date,iso,avg_rating,total_ratings,new_avg_rating,new_ratings,name,store,code
2024-09-02,AU,4.85,76904.0,4.91,1293.0,ChatGPT,apple,ChatGPT_apple
2024-09-09,AU,4.85,78226.0,4.88,1322.0,ChatGPT,apple,ChatGPT_apple
2024-09-16,AU,4.85,79834.0,4.88,1608.0,ChatGPT,apple,ChatGPT_apple
2024-09-23,AU,4.85,81339.0,4.84,1505.0,ChatGPT,apple,ChatGPT_apple
2024-09-30,AU,4.85,82798.0,4.86,1459.0,ChatGPT,apple,ChatGPT_apple
2024-10-07,AU,4.85,84357.0,4.87,1559.0,ChatGPT,apple,ChatGPT_apple
2024-10-14,AU,4.85,85941.0,4.88,1584.0,ChatGPT,apple,ChatGPT_apple
2024-10-21,AU,4.85,87517.0,4.86,1576.0,ChatGPT,apple,ChatGPT_apple
2024-10-28,AU,4.85,89136.0,4.85,1619.0,ChatGPT,apple,ChatGPT_apple
2024-11-04,AU,4.85,90724.0,4.83,1588.0,ChatGPT,apple,ChatGPT_apple
2024-11-11,AU,4.85,92464.0,4.85,1740.0,ChatGPT,apple,ChatGPT_apple
2024-11-18,AU,4.85,94281.0,4.89,1817.0,ChatGPT,apple,ChatGPT_apple
2024-11-25,AU,4.85,95786.0,4.86,1505.0,ChatGPT,apple,ChatGPT_apple
2024-12-02,AU,4.85,97459.0,4.88,1673.0,ChatGPT,apple,ChatGPT_apple
2024-12-09,AU,4.86,99057.0,4.9,1598.0,ChatGPT,apple,ChatGPT_apple
2024-12-16,AU,4.86,100674.0,4.87,1617.0,ChatGPT,apple,ChatGPT_apple
2024-12-23,AU,4.86,102066.0,4.89,1392.0,ChatGPT,apple,ChatGPT_apple
2024-12-30,AU,4.86,103618.0,4.86,1552.0,ChatGPT,apple,ChatGPT_apple
2025-01-06,AU,4.86,105415.0,4.88,1797.0,ChatGPT,apple,ChatGPT_apple
2025-01-13,AU,4.86,107416.0,4.89,2001.0,ChatGPT,apple,ChatGPT_apple
2025-01-20,AU,4.86,109281.0,4.89,1865.0,ChatGPT,apple,ChatGPT_apple
2025-01-27,AU,4.86,111373.0,4.85,2092.0,ChatGPT,apple,ChatGPT_apple
2025-02-03,AU,4.86,113768.0,4.87,2395.0,ChatGPT,apple,ChatGPT_apple
2025-02-10,AU,4.86,116078.0,4.88,2310.0,ChatGPT,apple,ChatGPT_apple
2025-02-17,AU,4.86,118537.0,4.87,2459.0,ChatGPT,apple,ChatGPT_apple
2025-02-24,AU,4.86,120853.0,4.86,2316.0,ChatGPT,apple,ChatGPT_apple
2025-03-03,AU,4.86,123209.0,4.89,2356.0,ChatGPT,apple,ChatGPT_apple
2025-03-10,AU,4.86,125754.0,4.83,2545.0,ChatGPT,apple,ChatGPT_apple
2025-03-17,AU,4.86,129494.0,4.83,3740.0,ChatGPT,apple,ChatGPT_apple
2025-03-24,AU,4.86,133072.0,4.85,3578.0,ChatGPT,apple,ChatGPT_apple
2025-03-31,AU,4.86,138456.0,4.81,5384.0,ChatGPT,apple,ChatGPT_apple
2025-04-07,AU,4.86,142749.0,4.85,4293.0,ChatGPT,apple,ChatGPT_apple
2025-04-14,AU,4.86,148408.0,4.87,5659.0,ChatGPT,apple,ChatGPT_apple
2025-04-21,AU,4.86,154069.0,4.87,5661.0,ChatGPT,apple,ChatGPT_apple
2025-04-28,AU,4.86,159319.0,4.84,5250.0,ChatGPT,apple,ChatGPT_apple
2025-05-05,AU,4.86,163548.0,4.86,4229.0,ChatGPT,apple,ChatGPT_apple
2025-05-12,AU,4.86,168865.0,4.87,5317.0,ChatGPT,apple,ChatGPT_apple
2025-05-19,AU,4.86,173309.0,4.87,4444.0,ChatGPT,apple,ChatGPT_apple
2025-05-26,AU,4.86,177437.0,4.89,4128.0,ChatGPT,apple,ChatGPT_apple
2025-06-02,AU,4.86,182516.0,4.88,5079.0,ChatGPT,apple,ChatGPT_apple
2025-06-09,AU,4.85,187402.0,4.68,4886.0,ChatGPT,apple,ChatGPT_apple
2025-06-16,AU,4.85,192280.0,4.86,4878.0,ChatGPT,apple,ChatGPT_apple
2025-06-23,AU,4.85,197228.0,4.86,4948.0,ChatGPT,apple,ChatGPT_apple
2025-06-30,AU,4.85,202127.0,4.85,4899.0,ChatGPT,apple,ChatGPT_apple
2025-07-07,AU,4.85,206742.0,4.86,4615.0,ChatGPT,apple,ChatGPT_apple
2025-07-14,AU,4.85,211695.0,4.85,4953.0,ChatGPT,apple,ChatGPT_apple
2025-07-21,AU,4.85,216596.0,4.86,4901.0,ChatGPT,apple,ChatGPT_apple
2025-07-28,AU,4.85,221399.0,4.84,4803.0,ChatGPT,apple,ChatGPT_apple
2025-08-04,AU,4.85,226324.0,4.84,4925.0,ChatGPT,apple,ChatGPT_apple
2025-08-11,AU,4.85,231424.0,4.81,5100.0,ChatGPT,apple,ChatGPT_apple
2025-08-18,AU,4.85,235653.0,4.84,4229.0,ChatGPT,apple,ChatGPT_apple
2025-08-25,AU,4.85,240851.0,4.84,5198.0,ChatGPT,apple,ChatGPT_apple
2025-09-01,AU,4.85,245204.0,4.85,4353.0,ChatGPT,apple,ChatGPT_apple
2025-09-08,AU,4.85,249430.0,4.83,4226.0,ChatGPT,apple,ChatGPT_apple
2025-09-15,AU,4.85,253700.0,4.79,4270.0,ChatGPT,apple,ChatGPT_apple
2025-09-22,AU,4.85,257853.0,4.78,4153.0,ChatGPT,apple,ChatGPT_apple
2025-09-29,AU,4.85,261811.0,4.81,3958.0,ChatGPT,apple,ChatGPT_apple
2025-10-06,AU,4.85,265967.0,4.79,4156.0,ChatGPT,apple,ChatGPT_apple
2025-10-13,AU,4.85,270845.0,4.8,4878.0,ChatGPT,apple,ChatGPT_apple
2025-10-20,AU,4.85,275260.0,4.79,4415.0,ChatGPT,apple,ChatGPT_apple
2025-10-27,AU,4.85,279222.0,4.8,3962.0,ChatGPT,apple,ChatGPT_apple
2025-11-03,AU,4.84,283582.0,4.8,4360.0,ChatGPT,apple,ChatGPT_apple
2025-11-10,AU,4.84,288074.0,4.8,4492.0,ChatGPT,apple,ChatGPT_apple
2025-11-17,AU,4.84,292095.0,4.82,4021.0,ChatGPT,apple,ChatGPT_apple
2025-12-01,AU,4.84,293510.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2022-12-26,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-02,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-09,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
2023-01-16,BR,0.0,0.0,0.0,0.0,ChatGPT,apple,ChatGPT_apple
